Refractive Indices,Thicknesses
"2.0526406420466907,1.566539366963271,2.3209332672708953,1.8068321701510341","113.06032416480454,135.0625361660825,173.77829936852766,493.6733289282511"
"1.3665614112472104,1.6215091484338016,2.133209536093393,1.8279943649593073","383.1333120346125,244.178675482384,449.196435067675,304.99444271472424"
"1.7598640637307195,1.4135273795938776,1.8069478843325075,1.9261946537197991","188.97370230296238,472.3866860831321,419.7255713831946,219.7097567588512"
"1.474652060843024,1.7966477977372688,2.1669756332343137,2.3283282161289773","389.52935897976016,358.77597715693065,485.1103722520912,266.9691705909621"
"2.2084208160406247,1.2049096270837527,2.48845652896478,1.3559914534664586","307.0993242295756,102.27296897980756,202.825778410189,408.04777394729024"
"2.417994761900312,1.5842244970797261,1.5593723619757422,2.397335696377463","242.63884824967752,402.0978003645523,117.20534507574678,435.561425491649"
"1.2356739098279979,1.066478900877979,1.4838982459610908,1.8591822078255427","200.95604893096254,135.39650632977015,175.7401621853086,237.0195879346808"
"1.2478157225989523,2.0681695066167203,1.1716691108853485,1.8052828884753036","366.5835013375253,414.9262748029771,440.85380451130175,483.98183608616665"
"1.5394363810797844,1.1821553362460206,1.4219973052997927,2.1696773745221742","376.3357762600817,219.16628060045434,237.5841411769142,116.87474332179626"
"1.0930866681040796,1.1550539607624906,2.408310395741837,2.405072905367414","198.25211787439324,327.2264759519751,251.17510310698609,446.4233506374208"
"1.5671736160410443,2.381908416614385,2.314257137526056,2.2745412575795045","315.34010327090084,250.64479213792163,247.63136775746779,113.76696981558166"
"1.1187607324224011,1.871528985408511,2.2797602643138015,1.883136334184785","465.7909415296931,128.84103961604524,423.8155681884313,297.4025239618736"
"1.8966127301396745,1.021312355188134,1.4918990927603222,1.5717428437988086","319.61960960810677,125.61958439084866,426.8878726699767,151.38153747970992"
"1.618063839854369,1.8010269543885296,1.8782613919593132,2.1829090759453544","377.3190366631674,174.43096402357662,414.5239678040758,120.76564523820359"
"2.3924559798589584,1.8424527170095968,1.4808484101809005,2.3426513821763857","142.15481485486978,450.17771348529465,261.09190086116837,337.62683740048533"
"2.4186857260762755,2.2048619182132847,2.097823227318141,1.163564249760094","216.40983891240114,386.2455242617833,401.0789807910363,384.3513336457752"
"1.9256819883623337,2.141628297245707,1.3633473469996775,1.1958680678908313","447.25966192685587,379.66836492775343,403.2519763890342,349.6506879061069"
"2.2807635739133008,2.1659285522509046,1.5953812573072486,2.460992237962334","412.2932519224266,184.64640829251775,389.01486995543644,490.05060105866227"
"2.0164304694205715,2.0236550368599016,2.1511399552264088,1.4146136865505603","166.95760792481158,123.96070815219159,488.93889628072117,188.79223621873155"
"1.048595536382386,2.294162277639341,2.467597615625147,1.8803585172084172","325.12403467199994,165.96226345491627,448.75990068732284,425.6820893440941"
"1.0681440877397332,1.085160770417189,1.4379234585367737,1.2415055657432255","331.5398635714304,269.9558101309666,498.320585790318,388.19518239641167"
"2.085975487054622,2.2089641458619456,1.9324409510955334,1.86825889057482","490.88213717575917,186.51391373714,406.1281945268983,455.26045638430867"
"2.3140982975199083,1.7100901159741766,1.7168348262122992,1.7602723967341483","280.9891283333401,443.2008784346985,283.15150716799394,150.2655015961087"
"1.1788498271579144,1.9627428184178228,1.0348114631089878,2.30303337243929","261.2594927539009,279.7140211869637,215.0125909784835,404.87037154132526"
"1.7810569281964506,1.7637282406374974,1.3586464970046546,2.056146441322169","330.643929375501,477.0092204403267,498.4955091880749,420.13071053832584"
"2.4605673003689743,1.0188828701363026,2.355248173056002,2.128461486487197","215.20501066099112,348.60185905220374,325.98546939148275,321.5519317121832"
"1.8810479172249288,1.1222353342656746,2.2125328430358744,2.1454611179407044","349.11104388652655,364.1765784553849,424.99201000953707,360.01233039548674"
"1.666385222040561,2.0763759462674725,2.2955697419745604,2.234702317934708","487.62643056902647,397.69702398920646,266.74703727107067,102.03169615740731"
"1.5806727438338948,1.0415064680272648,2.455972917536439,1.0441269674759717","481.42761562840275,183.1056233980619,262.5396898528965,134.11758875222844"
"2.4364075755637127,1.0719456649338013,2.2786788896759744,1.1162735345290358","265.4492834947773,134.63194722038864,481.3386364627171,214.94060033897293"
"1.479767737074931,2.415187958180325,1.9542113223085722,1.1036789613962337","281.83910970397056,129.32657244613085,184.5723051301519,170.77262075468423"
"1.3329203206214137,1.5972131221742238,2.4476385526171187,1.1556680582393344","178.7656721438134,318.5056038821517,491.84919187775665,317.57666014074744"
"2.1452588663177883,1.6966052611154325,1.659233481514728,1.5637874959018545","116.7349928083544,361.14020423631314,127.25060304898194,113.33654776955085"
"1.645709879530299,1.3765578264773248,2.0179903544500193,1.6568471204416757","376.3029224740556,348.6456174873381,178.27810006958066,389.87316555416913"
"1.3842278386902298,1.5145842870559088,1.8502460576040494,1.292994127417129","120.05953949646408,296.52917104413893,455.2457280168221,327.6135479091634"
"2.0446322629504086,2.151162107552694,1.1148435062879214,2.330160423997379","179.39358410048882,106.90952862868923,163.8032855269938,148.65057409919712"
"2.360217214771169,1.947960695356157,1.0566138473538702,1.7472190178243459","466.5382248599821,466.69937192833765,209.64897290192562,441.2031875015385"
"1.5137353125581916,1.0132500206654194,1.2367173735955044,2.45292107603332","130.7369618068724,199.645833495455,456.3629044398597,116.01834898773231"
"1.0864330704033522,2.0767771987931,2.4305902814881684,1.8081173765298701","312.2776015350038,203.46921727116526,260.5722824135348,205.42914568550106"
"1.1253720585976965,1.2666165163349024,1.811564772964417,1.0763782141641967","246.14441234396085,142.47263808409386,385.8386754183937,119.13930750380061"
"2.3314824330298447,1.2652323570425046,2.0389366697078066,1.015106491392025","143.1061299690203,255.22046470591886,296.29124897045165,428.3895868367572"
"2.355987448803065,2.3479349606955235,2.045791291759715,1.8866903309353762","297.0224904116971,480.2968571826928,349.34423016460505,215.13517036043407"
"1.1318256616203533,1.6599840613451278,2.244231495317838,1.2224980357308244","165.57544169458134,319.49607716996525,140.96800577540014,296.00372753414035"
"1.252041592141481,2.0995424243993366,1.9859162614546826,1.014293794973395","161.09802366266263,126.41924031040529,217.26834970490603,270.3405827266928"
"2.2410931012149558,2.0577004449445684,1.703442140851048,1.1724331824471106","341.53946990437373,324.1027526490101,198.06554836465384,342.74489593030523"
"2.206703812396767,1.4927935773901717,1.0077652543824678,1.6470826305189155","319.7252327624273,287.8352380984488,135.73164926673607,441.0009940032782"
"2.295637254239468,2.4433483310151196,1.3008217035191199,1.1389921722767213","452.43057732695047,410.06614491222507,210.25434675583585,325.9371818599219"
"1.9974306301596683,1.6163430090385278,1.1361441440050353,2.230943016780767","310.5665209693848,432.2299021086123,315.7683112807889,297.9286498971774"
"1.9218578649514635,1.4713280108031135,1.6788588936562938,1.6340371774622107","323.6699756847862,497.63551276820573,325.6405539415988,304.91947161289465"
"2.1521125345862715,2.0546649764113702,2.262206924340445,1.0007241851651845","231.65737791248029,356.16038316964824,258.9448585881206,212.13039702109668"
"1.837487585426641,2.111415130692704,1.3982779485797716,2.0885125454303357","469.43301117549487,429.57434114786054,155.56259029959136,404.737263114497"
"1.8868615494324015,1.623817101158588,2.4361190236203907,1.144274328560802","266.7498461608494,303.7977567843371,166.53948102131795,482.3846141058349"
"1.1542439860311111,2.4622384146313174,1.6125486038346923,1.4777024614878997","296.67943547065386,265.6332377503877,471.1795173158871,192.12713641586686"
"1.8429194170129422,1.5316994826272623,1.3374847542864268,1.4138770260782034","385.64018169581186,369.43578575144335,362.8705726703307,295.4719859822003"
"1.3467233418886786,1.3556657060561883,2.1820443438742574,1.5016400217070867","453.4829434258788,428.78306481709194,389.50067347880923,234.46358459866454"
"1.5934681756691131,1.8006909759138243,1.8561674625241948,1.0958081999253078","132.01662226797808,146.6718132112864,166.21893542643087,239.16211335381496"
"1.500267818996539,2.298943938274885,2.286989609128449,2.2418612140655707","293.4358771673845,453.4546221524224,202.3849191338998,390.2279256336496"
"1.5850054226052022,2.3027237110914562,2.49669595174043,1.5887622192549096","409.43852290778665,213.58173789285865,242.13516371366163,440.5524658039321"
"2.0281168103033402,2.2088777960300714,1.6951792514478554,1.4432088423393208","437.7493879523752,346.3484827210225,470.985301701778,238.3309411909696"
"1.7209321660716337,2.2940218858479615,1.8702419769100733,1.3002348933756003","414.18988559679326,400.5217925400653,202.39711817630638,148.70806189252136"
"1.3117728187376914,2.33763098353103,1.6043834556772394,1.2296911424125516","439.00663803810926,312.0945151061063,215.31467757861537,114.48303935386201"
"1.2535040929020775,1.2656255685971418,2.0461987159313377,2.050553191194877","476.2709038447821,232.8434585256374,397.5537587658186,133.9824441698633"
"2.3094848555897154,1.8106800750336096,1.727607771010418,1.0860191192927664","279.8314164136004,321.5817791287664,387.77846269815564,394.17122302444875"
"1.1896804698173844,2.171474338548027,2.1471524532410795,1.0295049701225287","205.71138929318232,252.60546514030952,332.03367712938814,131.95163731783222"
"1.9083306522713193,1.4565724169712226,1.2990117289832281,1.6324532562428378","480.83013648736977,366.2913553044695,366.4609578583252,409.9665022743968"
"2.134696712219071,1.6563028756580964,1.976479491657937,1.2206484626043377","202.70109286671186,465.0645651209545,161.55740300427271,105.93006571924496"
"1.3845592361480001,1.8604554761708152,1.4920272369054794,2.0621788573307978","255.7848446600452,206.03537705244213,476.283915102185,165.237691157246"
"2.088667764845333,2.0357760164919396,2.032000415196056,1.050514971229087","433.56875483451,381.08378077567977,494.6785647095307,151.14965386664113"
"2.3923081341062717,1.3554322884457801,1.723383382850976,2.384588081414463","436.40167554531916,323.03341624102075,471.9941558728241,223.9778162581842"
"1.0664761700813232,2.2942173023876453,2.246009098263828,1.996603051409619","303.9845197726191,237.74649768185313,223.28718366080875,125.970732464583"
"1.0041222877831002,1.265448787290977,1.0917581196167834,1.4626803406177278","155.13241261447507,227.25557386152497,109.02671275074817,207.82412832447164"
"2.3671079603396032,1.3991039229409685,2.2171578317929663,1.8597662303794864","400.8414334049788,345.1826803512903,128.03613946781311,182.3884656531098"
"1.9885515896946289,1.0215553295211297,1.0289200960514227,1.065061327174654","322.10068278687044,420.12042253436476,395.92013405824787,283.5746347595359"
"1.2883816402510953,1.9264528083221653,1.6170741347660538,1.6896664031687547","189.32916214856172,475.91939598128346,415.82905947023477,495.24927546671574"
"1.521454205991231,1.4615849091980362,2.4642439990520693,1.0836533677112445","493.70295103462115,262.1034611203578,326.4037163730047,116.9864971648809"
"1.1734216138391282,2.1899341411437625,2.0312555059338737,1.0449445558604333","360.01133296720525,298.33634000781205,492.4327891613424,346.8839408046761"
"1.8073443640530789,1.3586904684632144,1.698757849153948,2.466013070327067","185.5465038976997,461.3971851111928,114.00741367560205,474.4203939106985"
"2.2588344888529432,1.0116921650608515,1.955367662815308,1.3449878259030288","210.53612266029714,454.88797597750994,389.1960027090621,472.8541364940088"
"2.2202219830163674,2.3943570668936482,1.5418358046755536,1.8472602741418351","425.88978327151,159.65064680087076,425.01595783968133,235.19446767794503"
"1.5247193558252605,1.0922374731557454,2.389949994870661,2.284356701542934","195.09258925950513,425.3871170959695,112.60060826280403,179.7298921294468"
"1.5063965042054726,1.0900152146135285,1.1193401440852777,1.6685832712880122","261.72469356595246,379.0598034176361,325.25634998129806,428.9091713509452"
"1.1636680921079576,1.483835998409249,1.306757749811099,1.0432025439915222","323.4621858026121,277.6680524366365,395.52710987086004,227.16382461138545"
"2.197806989027384,1.9298064058288416,1.2123931449632297,2.210783402228799","260.74417196811504,315.3472334931329,252.06156273177513,343.29774935459795"
"2.2455925876421587,1.3446034777871099,1.5967396656847455,2.4297982599446746","111.89861518016775,179.07412467278522,151.85809094699994,170.06679071667273"
"1.6873398998022866,2.1851912242253837,1.0289193841598518,1.9661459161885206","397.0787168561552,165.78269413608302,485.46859447948896,412.81861970290646"
"1.7342639186158495,1.0804676926817547,2.118103159173911,2.0701514597933715","459.9726095976189,480.2269030759994,313.61502984485674,307.3220942980122"
"2.0880242323291434,1.4738825927844907,2.063567625531106,1.7384876421047113","448.5820150904313,141.9721873666417,368.8422474909716,429.61894336134645"
"1.4563456122774494,1.08275364635987,1.7019123503887998,1.051765841123068","177.4350647795392,124.50402256623443,238.55867556458148,272.1218812072667"
"2.21880524339597,2.0655856677611535,2.129791420074283,1.9644720617039102","231.2097770688144,313.46516925824244,258.30514659008577,326.5695054225828"
"2.3321548878288123,1.1220992773540188,1.5939275969000026,1.907172291640652","344.6803450366016,206.6809706676712,237.53313387633676,241.43363017909417"
"2.091038106501746,2.2964535571372813,1.9034742848451232,1.8954625781410122","154.96042417532996,201.6843099693727,259.80179544410896,403.8071334162937"
"1.6867601819518598,1.6854740996697382,1.6983981189817088,1.2104720315297253","253.81737865666207,146.80401989588998,350.6020992957904,455.07040821155886"
"1.1515244329493823,1.7785942984830587,1.4051868764529558,1.847170177565154","381.89288256405064,322.74427148356824,212.0111326016767,475.8557400478853"
"1.7334348590894937,1.3826097614815083,2.151687560340923,2.2643492007761346","363.9640926034195,468.8491237679151,435.47169864281864,400.97251122607463"
"1.1938092643886098,2.194580688651336,2.082017543235296,1.0693954935147816","168.89677865444935,240.90914561342385,274.919722290594,431.6125247650267"
"1.4772595333712464,1.2618754304707203,2.1936502384439005,1.0596851920353962","495.1456495089114,491.6767230992943,183.5550102727302,122.77334423391615"
"1.1178736060784018,1.262018963607182,1.2231061042106068,2.260156508530924","318.39974686650396,367.85592568953825,486.35975572170736,458.804768873525"
"1.7948823736223911,1.7107172022336345,1.0096819433105455,1.2394609217404788","191.40339901966215,264.1914825125117,218.52340574344925,168.732598416827"
"2.2610981432282333,2.1854113569915183,2.0753395414125464,1.6961676104695411","242.7175714488544,148.81178639283843,358.3637149971167,219.9256040231484"
"1.7471813163780563,2.1487235939020666,1.2802158275145386,1.6568383483645033","119.66016720816333,456.2768059610549,143.32157110570262,129.87130011092023"
"1.5203942923017284,2.3191130719765853,1.841135535896651,1.5259217413257293","331.130301073789,171.4884705613203,259.1537837926199,184.17402861893973"
"1.9959268640786816,2.337274877172004,1.061576075682316,1.1137696211149404","223.86133883963925,358.98829121835666,193.43183495266723,230.60201424326777"
"1.3401851241041887,1.2951925387961218,1.6316829258047199,2.3758658500421066","286.5874680968648,290.92172212002276,293.41468500379983,148.2496737251175"
"1.4158461743651392,1.2409825792145839,2.0666387110891424,1.5441605892815629","151.21364762236658,144.70887663729476,127.83038015953743,398.9312769537249"
"1.3095653726431506,2.411042578402835,2.3015904657405986,1.716390467582991","386.71103738493616,451.4189415811453,343.4190670646379,141.94555515100728"
"1.5288834011547157,1.139999658219855,1.8669231331630696,1.2597945328394917","186.38841177481493,473.7169153852008,492.0189277694452,270.60901430490196"
"1.9072717478065884,1.7378116207939855,1.0904119175697007,1.5427291446336362","319.73697969169046,199.50465350202253,152.71019248375967,151.81439623633435"
"2.4344154532148536,1.3608755957863958,1.436450235431297,1.7699852156980593","139.24655219704655,220.33563584628394,413.0007432313013,452.74825148752825"
"1.7278421543402946,1.745059642123652,2.1797005391786373,2.364005042454494","420.06845072591796,404.96907505855455,380.9457332302188,215.84958743763423"
"1.271413358955927,1.202135742744175,2.2031227402735496,1.5910683067222302","110.93444614458146,422.03974751856185,329.9900141513378,307.9453268795876"
"1.0611606747629505,1.2436681209974147,1.8095872064442364,1.2114733167939666","322.403062989766,468.63933695230986,371.6808185672406,377.448729350097"
"2.172371461582613,1.3262802916439864,1.113979128567491,1.0641153636425194","183.3753823703118,187.19272145234754,294.2283504439221,138.1664778891269"
"1.3023279926551266,2.143829129245895,1.0985270140647325,1.7987985656446273","417.9187096298661,461.6846192981706,118.29947058482561,240.59561646618423"
"1.4057906157989195,2.02407622832344,1.7030959881699022,1.2492820461765866","453.32248953436317,340.06845654921364,326.78248046833306,428.8348514664174"
"1.67984481601102,1.6638054229501529,1.2284595431997838,1.224058166083942","316.2935979354344,153.93959563581362,264.0668373031039,255.4825017491178"
"2.160395835404567,1.4089716628868287,1.2103802366428564,1.606992650223896","108.58098198771118,409.3346221800535,184.07237552237495,274.5221652211176"
"1.6753321240527814,1.0315607096499515,1.2948844666541923,1.1821199087027554","287.4819071868911,249.00478067238487,118.24724799604675,486.27563006396855"
"2.329873699053789,2.2513875043535427,1.7584163779957795,1.1472525260310957","230.57093807069543,416.5285402992226,128.59891745081043,111.13149686402099"
"2.0618146970807882,1.999675214576569,2.215118498327697,1.2442888787252557","455.93374701852946,360.64867350315086,153.72856107920086,163.17789957845144"
"2.218929289104299,1.069772364628455,2.123449784044502,2.208420057945012","338.43122923841156,206.79037776853062,198.585912031548,423.0937740877914"
"2.4769046109812556,1.8267187605076165,2.497589223729342,1.9920649090528264","175.03443249064054,499.54885443979765,416.3689131863625,180.4123739651846"
"1.0832496274919052,2.203535268328319,2.017140682442452,1.5837530326775675","390.6097344756905,317.3669289338793,176.6729419561852,209.10538349273605"
"1.1600219901991486,1.2391924226316429,2.226684419857519,1.2500317712267197","292.3985034586547,439.9995246082959,403.75371478410347,140.00169198373635"
"1.2899722793852275,2.2045794665736063,1.1299374746608788,1.7488197847167573","321.184063134025,382.6265533417168,210.31397633393843,414.71180641956084"
"1.3549043574635697,1.9808795307849598,2.28832414570632,1.3688487590432188","454.1243478075431,356.1861910782855,481.58061038673685,145.6719865383065"
"1.4947494438709183,2.441519042774225,1.5808692251556278,2.3271697843589623","395.97744811703467,350.00760304518155,241.42982907214017,131.92732419630948"
"1.8113846210945974,2.246526852786144,1.8488306572090563,2.1177148112630397","121.03053078552625,187.81485401815866,190.43145742221554,178.54563806461806"
"2.135922569562063,1.3713436706734377,1.585608900238854,1.6322907497226262","481.5443264612708,263.3163228531343,460.67732007703717,275.0780041165207"
"1.4520885089268916,1.453953498331493,1.2066970605962541,1.6426645830389734","354.9446476823674,161.57670751920563,472.483096113798,111.57374148404737"
"1.7823747527445573,2.4071219768861827,1.44482082220927,1.3968709971941795","482.3514447679155,124.76638132488485,385.1387160672103,213.7567123910551"
"1.8256144025525414,1.9037811039137837,2.030715647142602,1.6552776833880016","246.7720414755314,156.69029444734787,171.30348988049784,188.66440552302947"
"1.0750906528507098,1.7130980372351654,1.9912271587650388,2.206721368082155","347.2066200384865,487.5414124878942,398.0689109104772,240.82470662042775"
"1.694851303369891,1.1180264872574843,1.2768203736389057,1.6016771391824531","199.85886008781705,465.02488212342644,490.89996699818187,240.1874235126586"
"2.194312999225389,1.8610852949679053,1.0772906154553887,2.431868577210734","436.36746791402106,313.8274775211172,260.97596270943,313.6292608564455"
"1.8815490456862116,1.7441578625733332,1.2931571511811137,1.4475754495669473","341.54548402549057,479.46777199525474,393.2871548344676,282.28016351605186"
"2.4104917027909534,1.639225819026445,1.160716190968749,1.5477583442330158","312.8448770434321,154.70626718614162,219.0522566392512,496.33676268504445"
"1.2971400796754904,2.202916713244416,1.7729481394982398,2.2799182740391633","129.85259854875943,242.43679712802276,327.6492772714821,296.75443746937174"
"1.62100511848625,2.220557994304828,1.887315922984227,1.5184245307186748","302.3013024067636,245.8918211984006,408.2840899517272,426.3851460203342"
"2.436698941092274,1.8506103104561809,1.4742308732665592,2.1308645170600706","148.98223588482318,107.00251139335202,164.70253293297077,240.84509062147254"
"2.170553503142825,1.461289561685996,1.845380441762604,1.8902641993492102","286.5689673458886,310.7863572986787,314.23446434501284,131.5821960784464"
"2.2931096752146525,1.48438216388084,1.3075937302692775,1.2908869019209892","384.8956424283968,329.3577479298581,117.03725035786019,363.3058024476725"
"1.368512438155609,1.8863716484461142,1.6273867405696274,1.994269522548533","362.31358820168145,333.5517339526235,470.5810756827242,260.9741279046609"
"1.6416132167194242,2.2330914597284846,1.7130788622065583,1.0941741878867546","263.15177310837976,428.5664317580079,454.28631557145826,290.33063644127157"
"1.8456270492279085,2.173712996228275,2.3173006343566316,1.0891999462650162","180.63599722665282,212.05356836699724,318.426296618435,282.37825664207514"
"2.4679007875141745,2.198182125421337,2.228701890432929,2.481076619507472","114.77562572587257,451.60745982736137,271.3093911624629,387.62869707844413"
"1.319097424388986,2.455892520813623,1.227566677099245,1.779294678109391","409.78558566756675,184.1783291637133,497.1855301801002,263.4269190898101"
"1.1068119267484946,2.437734474608581,2.0104053046373758,2.289078349418129","340.5593984998161,355.4985242712004,168.70459876820468,434.632693456675"
"1.2985598226952704,1.215424053680458,1.4852202589044543,1.680545964293437","168.61972597132424,259.8399580371887,181.0768020355514,351.642162280923"
"1.5478208536936888,1.8711647333041188,2.4157605300757505,1.2655256564941015","301.20445850962824,157.45952586903815,343.44800975382316,319.38272818605736"
"1.5551517660972989,2.054813217359298,2.0558169012191025,2.13038789152525","296.8906491010821,351.8226483204023,118.25794000873798,197.68133670433747"
"1.209478282335015,1.8779406941821088,1.683873349519926,1.2366714239752425","148.2300419212014,369.8551986277328,389.40894091844655,400.8001658557026"
"1.3135617200114862,1.9001869518985783,1.054389698766084,1.3534035403070002","269.9257168587339,302.78775178115757,199.0052154260359,203.4501714355878"
"1.2480354235408682,1.303273460021078,1.0041700170675856,2.07823156189655","336.86227423612195,470.09926355075487,156.9271150655435,175.27450491614172"
"2.119289496090049,1.0082061385170515,1.364483935608371,2.060473829309109","196.55312928050708,117.06008530406847,463.06237470872446,440.6736597046458"
"1.124210125713872,1.8894782197476183,2.1990057982880313,1.3873815588677907","132.65227245402068,107.55543582730441,327.4212551972854,475.60632983685844"
"1.5906383601540404,1.2443811210787752,2.2839743865719897,1.1215446490471677","470.70068001131045,388.25667595318794,407.29110987471296,374.86720713905396"
"1.3855051876410551,2.1408503183395933,1.7497333117523435,1.5377562810678083","464.6956490021165,371.19594100187214,240.12704908586687,420.470901429161"
"2.076938212713581,1.1040197205343165,1.830933223520588,1.6815557641935395","366.52282466741843,421.6993044185189,313.60218036902154,132.14800933723126"
"1.932296808382174,1.7244136188666,2.0983046786534714,1.4190021142129923","363.0935670552526,324.04726636249035,218.67598228780363,163.76407718414225"
"2.0357718982868502,1.3049800624011962,2.3434990986330204,2.461838999365182","185.88650077855303,190.13851221347232,376.4196138971343,152.95147322870105"
"2.2198811134914984,1.7840332359650548,2.159176466659576,1.2220346336294026","282.2412734481722,130.0614096337755,498.5853397142019,412.92039822245573"
"1.8773098181815886,1.0222212535266626,2.4501339275217697,1.1884656255644228","457.0532823814043,350.722444033401,100.28439936368336,147.7236355432289"
"2.157318493248017,2.0817084044768763,1.6971115607957818,2.0141284624971565","424.3637579284265,320.332538193256,106.62434414391927,235.15564680106417"
"2.0988336727826677,1.5755058811175227,2.220026032384222,1.8740402043930777","170.95165885616632,411.4853263161032,300.6401557086115,425.9179147460504"
"2.495244191184196,1.9565320638069483,1.596967369369588,1.557530011691593","359.67407641318584,434.48989939634333,356.66716596390063,389.6507784563121"
"1.6527120448628836,1.5351239529293743,1.557626271925432,2.1136471653901885","399.74564421694436,126.84682903621147,212.51433004853402,171.73574013888157"
"1.1509182317537803,1.00883839214166,1.3065484468173958,1.0303987208428964","292.09936156581676,419.5477859591838,204.1082309224281,425.3309216568892"
"1.8132641203544815,2.183265612481421,1.4078827028274472,1.2604444957274117","184.86142441193314,290.93936900586755,139.33630707705996,299.41843895144564"
"1.1595701243603371,1.428405730113143,2.2906532366462837,1.539795365978986","301.9633701442637,161.1987322054246,189.78838286211138,433.60794479281554"
"2.0407087385864724,1.1528458962853552,2.110309615808642,1.1921421239124756","463.9857804065582,354.6410527716319,472.2741949416219,192.94142883775018"
"1.9325177461783236,1.6018292636192168,2.022872190506345,2.325979234906638","408.1625384055547,441.7519586581881,353.54565031442496,456.1486248036866"
"1.1114685954951034,1.428501941319191,1.079205140613041,1.4895213043902373","410.26060157737226,196.12815502365928,135.82449453375375,418.71792556323635"
"1.3192048271542807,1.5714038215642738,1.3800795539820023,1.975806006124701","359.0059994162446,376.04464862477437,327.6436475898936,143.47223070718886"
"2.0449428070012714,1.7355012986269112,1.3647067419867955,1.4530243107616234","497.91359778263353,376.2031311508683,106.1956601140416,454.1024320132742"
"1.4848664659309145,1.5659259464845001,1.398564895401235,1.930271471092753","336.8034629395372,313.49048309732365,155.66961410668068,180.70397090406547"
"1.81620026730017,1.8643887906590049,2.1726736188799567,2.413797384561126","202.0740931996683,356.3354998118369,429.4154858258325,154.6245687931023"
"1.6165134360632198,1.7659232987635827,2.199804728942173,1.2481029304608682","148.54122747546512,293.2931320377845,361.54720113383286,256.9948278135804"
"1.3564259343125054,1.275116570909082,1.4932570868551172,1.2531812304332663","444.95185726176464,453.4250932177265,249.57499410658434,366.83631320048323"
"1.4375275023944318,2.2390912010059125,1.8714794777939905,1.1646052601229686","106.6440748093496,127.75428660102585,304.5876176885894,323.63347955759275"
"1.736888532782962,1.1188566769502972,1.6946409651361458,1.5417274526686184","336.95645484191857,215.00844315792847,100.83993362908488,498.9745809290921"
"1.3753744635612,1.9525573189457635,2.4741165411269987,1.9475280673991073","439.54429120852683,180.73660714257417,137.7322868529419,255.84149534524974"
"1.409838258840299,2.0399886885819685,2.2328180163426916,1.7551939706000048","200.4569814114742,390.9669248353947,472.80419961780837,143.5307853018807"
"1.6421691026799237,2.2451888664969797,2.17991129285919,1.0745694523285947","446.87646619824505,128.90193020020453,371.50782637067164,376.2334687244645"
"1.699915229184486,1.8312578299506381,1.5488529300289922,2.3096134947359297","144.18665311464838,179.18113484408687,300.0661888455279,431.30397681656564"
"2.130096990566188,2.238588845400656,2.378593266078182,1.1808296471364517","263.59416678447894,145.1752601803342,390.574844232971,206.11846642592022"
"1.9716231851182842,1.3234225102483077,1.384024709483724,1.665309639074759","312.39759375949416,439.9756873472077,167.94887163482267,401.5026495027891"
"1.3410801642899888,2.033468598136052,1.1143757456174037,2.3361252723137045","360.0901782715766,109.47588002349211,224.3515888133421,100.2496037341663"
"2.098271642069596,1.1523407447680307,1.50487608710069,2.032199919927813","228.99887639663845,408.1050716018531,375.83179149894363,198.46926803869195"
"2.1374333512607864,2.1649115322837558,2.3794681141978664,1.3292038233680643","202.89731579213574,285.4071777085571,374.6777113330578,161.39092768545112"
"2.1685374620430835,2.49748237005,1.3969671702143955,1.2561639270541667","456.01227388900503,308.21700122344635,417.68507174397985,265.056052425281"
"2.213740669139351,1.326732019002284,1.908435063358251,2.4046762491130638","336.31630341089385,352.1085207055248,139.16188021200736,464.3724510018218"
"1.1914253932540433,1.2628622847679218,1.1898041687947711,1.53100556950297","313.4941983921921,394.1515286715389,113.0144236109521,480.69248520360696"
"1.4784188292210845,1.1110988866646938,1.2097426234142987,1.4185195745481294","102.98856170704175,386.90625374446853,171.27393007010596,179.68727535519"
"1.788013622054494,1.7650309906258723,1.976440833665032,1.9643361126358143","191.89863371828363,226.82051644584877,293.0801252305224,173.44431756865845"
"2.3789450254368916,1.4028656678845999,1.2957633116774692,2.42103086331488","449.7237870601802,368.25111950727467,240.1639095786013,130.43862703855186"
"2.417196905208467,1.8998728112699288,2.2781583568743278,1.2468629965726348","375.64686080453544,162.53575820100124,123.74129110699634,162.73184235700307"
"1.2513144368410138,1.0069941699952878,2.0600741478317888,1.3880270524516958","283.3508567854186,273.0255662215088,375.86645013926574,167.93334470238062"
"1.773035646906977,2.1989935340076365,1.4452064560135096,2.1451507907067247","266.97914736864556,347.3167589625047,471.6617668556347,270.78193372795437"
"2.411767555793122,2.0148112668774374,2.364027537675341,1.5190552687639118","183.8318042237368,313.8236993342994,314.89620905039726,135.4594943424677"
"1.6842143677493677,2.29157616387859,1.8960273584737262,2.3205057051004943","294.77748070528395,495.05714293230534,430.9022408063782,343.9608539158553"
"1.2466986127628088,1.278297612853213,1.35989056194712,2.2298247818531616","328.1760508396238,317.60320750993486,373.40086089276485,121.5695126629928"
"1.5587861754470058,2.180673778067105,1.0400581203840178,1.3443114068393947","143.3360218029395,415.15073034432737,282.0769130860982,379.3938241714864"
"2.055399859919184,2.374258339799696,2.175673500184471,1.7383915532539886","115.38740800365073,190.2696340345373,110.51280583757168,488.39913028501314"
